School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Current Temp
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-09-14 05:48:00,2020-09-14 12:33:00,32.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-09-11 05:04:00,2020-09-11 11:48:00,32.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-09-09 05:09:00,2020-09-09 11:52:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-09-08 05:12:00,2020-09-08 11:55:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-31 05:04:00,2020-08-31 11:43:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-28 04:52:00,2020-08-28 11:30:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-27 04:55:00,2020-08-27 11:33:00,37.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-25 05:04:00,2020-08-25 11:41:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-21 04:15:00,2020-08-21 10:51:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-20 05:07:00,2020-08-20 11:43:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-19 05:02:00,2020-08-19 11:37:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-18 05:09:00,2020-08-18 11:44:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-17 05:23:00,2020-08-17 11:58:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-11 05:33:00,2020-08-11 12:07:00,37.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-08 05:30:00,2020-08-08 12:03:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-07 05:04:00,2020-08-07 11:37:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-06 05:08:00,2020-08-06 11:41:00,30.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-05 05:19:00,2020-08-05 11:52:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-04 05:25:00,2020-08-04 11:58:00,27.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-08-03 05:10:00,2020-08-03 11:42:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-31 05:37:00,2020-07-31 12:09:00,26.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-30 04:52:00,2020-07-30 11:24:00,33.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-29 05:17:00,2020-07-29 11:49:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-23 04:50:00,2020-07-23 11:22:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-22 05:30:00,2020-07-22 12:02:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-21 05:22:00,2020-07-21 11:54:00,32.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-20 05:16:00,2020-07-20 11:48:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-15 05:24:00,2020-07-15 11:57:00,33.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-14 05:23:00,2020-07-14 11:56:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-13 08:00:00,2020-07-13 14:33:00,29.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-12 05:00:00,2020-07-12 11:33:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-11 05:00:00,2020-07-11 11:33:00,32.0
